Account,date,total_pnl,avg_pnl,trades_count,win_rate,avg_size_usd,avg_execution_price,avg_fee,coins_traded,sentiment_value,sentiment_class,fg_lag1,fg_lag3,fg_lag7,pnl_per_trade,pnl_per_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,38.09262422398053,1643,0.20998174071819842,2875.2178940961658,4190.548645093603,1.7978284261168593,18,50.0,Neutral,51.0,47.0,46.0,38.09262422398053,0.013248604323935967
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1121.2585535260253,1268,0.5670347003154574,2166.171861198738,369.06186863067825,0.6404900378548897,12,74.0,Greed,72.0,71.0,72.0,1121.2585535260253,0.51762215806161
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,75.04308949390244,7380,0.3910569105691057,1818.587241192412,18.607745065084014,0.6378928212344173,13,44.0,Fear,47.0,54.0,46.0,75.04308949390244,0.04126449795430115
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,102460.17164,317.21415368421054,323,0.17647058823529413,1989.5179256965946,40.864900928792565,0.5479601145510836,2,,,,,,317.21415368421054,0.1594427220720535
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4.648305254443986,4838,0.4386109962794543,22504.555828854896,28556.546869951013,5.920457568210004,7,44.0,Fear,47.0,54.0,46.0,4.648305254443986,0.00020654952222980648
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,44.36796662019821,21190,0.46753185464841907,3210.7751864086836,20.28243549345446,0.4056961186983955,3,44.0,Fear,47.0,54.0,46.0,44.36796662019821,0.013818459420020829
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-06-15,6.593538,3.296769,2,1.0,7.0200000000000005,19.310499999999998,0.0024555,1,,,,,,3.296769,0.46962521367521365
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,43.71415730337079,267,0.15355805243445692,2725.7805992509366,7568.242062097379,0.30422242322097376,2,74.0,Greed,72.0,71.0,72.0,43.71415730337079,0.016037298568851704
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,147.19221040976933,2211,0.3722297602894618,8103.972912709181,23836.939773020807,1.8090700734644958,26,44.0,Fear,47.0,54.0,46.0,147.19221040976933,0.01816296919982702
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-06-15,-116594.595363,-715.3042660306749,163,0.006134969325153374,12832.663680981595,1286.3814212269938,4.245504079754601,4,,,,,,-715.3042660306749,-0.05574090335514503
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,69.23150891449964,9883,0.5692603460487706,2693.2837964180917,81.21935754855915,0.2541745756541536,14,74.0,Greed,72.0,71.0,72.0,69.23150891449964,0.025705240942886697
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,4.764098013808112,26651,0.3848636073693295,1554.8373344339798,24.94638425156317,0.35692160070428874,14,44.0,Fear,47.0,54.0,46.0,4.764098013808112,0.0030640491505450154
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-06-15,24897.574309,6.821253235342466,3650,0.363013698630137,1658.11421369863,18.37864109589041,0.36399309517534245,2,,,,,,6.821253235342466,0.004113862108525571
